"id","city","region","href","name","style","area","orientation","decoration","elevator","floor","build_year","sign_time","unit_price","total_price","fangchan_class","school","subway"
55,"nj","高淳","https://nj.lianjia.com/chengjiao/103101567349.html","双拜巷教师公寓","3室1厅","104.93平米","南 北","其他","无电梯","中楼层(共7层)","2000年建板楼","2017.08.07","25160","264","房屋满两年","None","距2号线孝陵卫1178米"
56,"nj","高淳","https://nj.lianjia.com/chengjiao/103102236138.html","万达紫金明珠","2室2厅","85.41平米","南 北","简装","有电梯","中楼层(共9层)","2005年建板楼","2018.04.18","27456","234.5","房屋满五年","None","None"
57,"nj","高淳","https://nj.lianjia.com/chengjiao/103102167385.html","万达紫金明珠","1室1厅","44.9平米","南 北","其他","有电梯","中楼层(共10层)","2006年建板楼","2018.04.16","24499","110","房屋满五年","None","None"
58,"nj","高淳","https://nj.lianjia.com/chengjiao/103102078807.html","万达紫金明珠","2室2厅","82.82平米","南 北","其他","有电梯","高楼层(共9层)","2005年建板楼","2018.04.03","27530","228","房屋满五年","None","None"
59,"nj","高淳","https://nj.lianjia.com/chengjiao/103100044869.html","裕华名居","3室2厅","126.99平米","南 西北","精装","有电梯","高楼层(共19层)","2000年建板楼","2016.01.13","22286","283","None","None","None"
60,"nj","高淳","https://nj.lianjia.com/chengjiao/103100012814.html","裕华名居","3室2厅","126.99平米","西南","精装","有电梯","高楼层(共19层)","2000年建板楼","2015.12.29","21262","270","None","None","None"
61,"nj","高淳","https://nj.lianjia.com/chengjiao/103100067080.html","裕华名居","3室1厅","87.08平米","西南","精装","有电梯","高楼层(共19层)","2000年建板楼","2015.12.27","25793","224.6","None","None","None"
62,"nj","高淳","https://nj.lianjia.com/chengjiao/103101681961.html","雅居乐花园","2室1厅","55.79平米","南 北","其他","有电梯","中楼层(共11层)","2010年建板塔结合","2017.12.10","40868","228","房屋满两年","None","None"
63,"nj","高淳","https://nj.lianjia.com/chengjiao/103100962529.html","雅居乐花园","1室0厅","52.67平米","东","其他","有电梯","高楼层(共11层)","2009年建板塔结合","2017.12.09","30378","160","房屋满五年","None","距3号线武定门914米"
64,"nj","高淳","https://nj.lianjia.com/chengjiao/103101751125.html","雅居乐花园","2室1厅","53.25平米","北","其他","有电梯","中楼层(共11层)","2010年建板塔结合","2017.10.21","36808","196","房屋满两年","None","None"
65,"nj","高淳","https://nj.lianjia.com/chengjiao/103101182903.html","都市山庄","2室1厅","49.95平米","南 北","其他","无电梯","中楼层(共7层)","2000年建板楼","2017.05.17","31832","159","房屋满五年","None","距2号线下马坊459米"
66,"nj","高淳","https://nj.lianjia.com/chengjiao/103101074290.html","都市山庄","2室1厅","68.24平米","南 北","其他","有电梯","中楼层(共7层)","2000年建板楼","2017.04.24","32357","220.8","None","None","None"
67,"nj","高淳","https://nj.lianjia.com/chengjiao/103100937064.html","都市山庄","2室2厅","89.12平米","南 北","其他","有电梯","中楼层(共7层)","2000年建板楼","2017.03.15","30297","270","None","None","距2号线下马坊342米"
